country,iso2,admin1,iuName,iuId,iuCode,year,pgm,popTotal,popPreSac,popSac,popAdults,endLf,popReqPc,popNoTx,mda,epiEffMda,epiEffMdaN,cumMda,mdaScheme,mdaDrugs,ia,mdaLast,surveyLast,endemicityId
Nigeria,NG,Jigawa,Taura,36681,NGA0379236681,2021,1.0237,190627,30500,53376,99126,"Endemic (MDA not delivered)",190627,0,0,0,6,10,"MDA 1",ALB_IVM,TAS1,2021,2026,26
Nigeria,NG,Jigawa,Taura,36681,NGA0379236681,2022,1.0237,195143,31223,54640,101474,"Endemic (under post-intervention surveillance)",0,195143,0,0,0,10,NR,NR,NR,2021,2026,3
Nigeria,NG,Kaduna,Kajeru,36694,NGA0379336694,2029,1.0237,193449,30952,54163,100594,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Kano,"Garum Mallam",36720,NGA0379436720,2026,1.0237,189476,30316,53053,98527,"Endemic (under post-intervention surveillance)",0,189476,0,0,0,10,NR,NR,TAS3,2021,2026,3
Nigeria,NG,Kano,"Garum Mallam",36720,NGA0379436720,2027,1.0237,193965,31034,54310,100861,"Endemic (under post-intervention surveillance)",0,193965,0,0,0,10,NR,NR,NR,2021,2026,3
Nigeria,NG,Kano,Kunchi,36731,NGA0379436731,2029,1.0237,193711,30994,54239,100730,"Endemic (under post-intervention surveillance)",0,193711,0,0,0,11,NR,NR,NR,2022,2027,3
Nigeria,NG,Kano,Warawa,36748,NGA0379436748,2022,1.0237,190744,30519,53408,99187,Endemic,190744,0,1,1,6,10,"MDA 1",ALB_IVM,TAS1,2022,2027,26
Nigeria,NG,Kano,Warawa,36748,NGA0379436748,2023,1.0237,195263,31242,54673,101537,"Endemic (under post-intervention surveillance)",0,195263,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Katsina,"Dan Musa",36756,NGA0379536756,2028,1.0237,193783,31004,54259,100766,"Endemic (under post-intervention surveillance)",0,193783,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Katsina,Danja,36758,NGA0379536758,2023,1.0237,190587,30494,53364,99104,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Katsina,Danja,36758,NGA0379536758,2024,1.0237,195102,31216,54628,101452,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Katsina,Dutsi,36760,NGA0379536760,2025,1.0237,190699,30512,53396,99164,"Endemic (under post-intervention surveillance)",0,190699,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Katsina,Dutsi,36760,NGA0379536760,2026,1.0237,195217,31235,54661,101513,"Endemic (under post-intervention surveillance)",0,195217,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Katsina,Kurfi,36771,NGA0379536771,2026,1.0237,191245,30600,53549,99447,"Endemic (under post-intervention surveillance)",0,191245,0,0,0,11,NR,NR,NR,2023,2028,3
Nigeria,NG,Katsina,Kurfi,36771,NGA0379536771,2027,1.0237,195776,31325,54818,101803,"Endemic (under post-intervention surveillance)",0,195776,0,0,0,11,NR,NR,NR,2023,2028,3
Nigeria,NG,Katsina,Matazu,36777,NGA0379536777,2027,1.0237,192019,30721,53765,99850,"Endemic (under post-intervention surveillance)",0,192019,0,0,0,10,NR,NR,TAS3,2022,2027,3
Nigeria,NG,Katsina,Matazu,36777,NGA0379536777,2028,1.0237,196568,31449,55039,102215,"Endemic (under post-intervention surveillance)",0,196568,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Kebbi,Augie,36787,NGA0379636787,2026,1.0237,190768,30522,53416,99200,"Endemic (under post-intervention surveillance)",0,190768,0,0,0,11,NR,NR,NR,2023,2028,3
Nigeria,NG,Kebbi,Augie,36787,NGA0379636787,2027,1.0237,195287,31245,54681,101550,"Endemic (under post-intervention surveillance)",0,195287,0,0,0,11,NR,NR,NR,2023,2028,3
Nigeria,NG,Kebbi,Bunza,36790,NGA0379636790,2025,1.0237,192985,30878,54037,100352,"Endemic (under post-intervention surveillance)",0,192985,0,0,0,8,NR,NR,NR,2022,2027,3
Nigeria,NG,Kebbi,Fakai,36792,NGA0379636792,2025,1.0237,192589,30814,53925,100146,"Endemic (under post-intervention surveillance)",0,192589,0,0,0,14,NR,NR,NR,2021,2026,3
Nigeria,NG,Kebbi,Ngaski,36798,NGA0379636798,2024,1.0237,193647,30983,54221,100696,"Endemic (under post-intervention surveillance)",0,193647,0,0,0,13,NR,NR,NR,2021,2026,3
Nigeria,NG,Kebbi,Shanga,36800,NGA0379636800,2023,1.0237,192775,30844,53977,100243,"Endemic (under post-intervention surveillance)",0,192775,0,0,0,14,NR,NR,NR,2022,2027,3
Nigeria,NG,Kogi,Ajaokuta,36806,NGA0379736806,2024,1.0237,189854,30377,53159,98724,"Endemic (under post-intervention surveillance)",0,189854,0,0,0,10,NR,NR,TAS2,2022,2027,3
Nigeria,NG,Kogi,Ajaokuta,36806,NGA0379736806,2025,1.0237,194352,31097,54418,101063,"Endemic (under post-intervention surveillance)",0,194352,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Kogi,Ibaji,36810,NGA0379736810,2022,1.0237,189770,30363,53136,98681,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Kogi,Ibaji,36810,NGA0379736810,2023,1.0237,194266,31082,54395,101019,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Kogi,Ijumu,36813,NGA0379736813,2025,1.0237,190551,30488,53354,99085,"Endemic (under post-intervention surveillance)",0,190551,0,0,0,9,NR,NR,NR,2022,2027,3
Nigeria,NG,Kogi,Ijumu,36813,NGA0379736813,2026,1.0237,195065,31210,54618,101432,"Endemic (under post-intervention surveillance)",0,195065,0,0,0,9,NR,NR,NR,2022,2027,3
Nigeria,NG,Kogi,Kogi,36815,NGA0379736815,2027,1.0237,192977,30878,54034,100349,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Kogi,Omala,36823,NGA0379736823,2030,1.0237,193626,30980,54215,100686,"Endemic (under post-intervention surveillance)",0,193626,0,0,0,14,NR,NR,NR,2021,2026,3
Nigeria,NG,Kwara,Asa,36826,NGA0379836826,2023,1.0237,191697,30671,53675,99682,Endemic,191697,0,1,1,5,10,"MDA 4",ALBx2,pre-TAS,2024,2029,26
