year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2019,NGA0377636366,,2.0,3.0,214086.0,214086.0,139264.0,65.05,4.0,3.0,1.0
2020,NGA0377636366,,2.0,3.0,219019.0,219019.0,175607.0,80.18,5.0,4.0,1.0
2021,NGA0377636366,,2.0,1.0,224692.0,224692.0,0.0,0.0,5.0,4.0,0.0
2022,NGA0377636366,,2.0,3.0,230547.0,230547.0,186047.0,80.7,6.0,5.0,1.0
2023,NGA0377636366,,2.0,1.0,236310.0,0.0,0.0,0.0,6.0,5.0,0.0
2014,NGA0377636367,,2.0,1.0,183837.0,183837.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636367,,2.0,1.0,188668.0,188668.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377636367,,2.0,1.0,193385.0,193385.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377636367,,2.0,2.0,198220.0,198220.0,79256.0,39.98,1.0,0.0,0.0
2018,NGA0377636367,,2.0,1.0,203175.0,203175.0,0.0,0.0,1.0,0.0,0.0
2019,NGA0377636367,,2.0,3.0,208254.0,208254.0,148690.0,71.4,2.0,1.0,1.0
2020,NGA0377636367,,2.0,3.0,213054.0,213054.0,112287.0,52.7,3.0,2.0,1.0
2021,NGA0377636367,,2.0,1.0,218572.0,218572.0,0.0,0.0,3.0,2.0,0.0
2022,NGA0377636367,,2.0,3.0,224267.0,224267.0,155196.0,69.2,4.0,3.0,1.0
2023,NGA0377636367,,2.0,1.0,229874.0,229874.0,0.0,0.0,4.0,3.0,0.0
2014,NGA0377636368,,2.0,1.0,156901.0,156901.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636368,,2.0,1.0,161025.0,161025.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377636368,,2.0,1.0,165050.0,165050.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377636368,,2.0,3.0,169177.0,169177.0,126212.0,74.6,1.0,1.0,1.0
2018,NGA0377636368,,2.0,1.0,173406.0,173406.0,0.0,0.0,1.0,1.0,0.0
2019,NGA0377636368,,2.0,3.0,177741.0,177741.0,121497.0,68.36,2.0,2.0,1.0
2020,NGA0377636368,,2.0,3.0,181837.0,181837.0,122628.0,67.44,3.0,3.0,1.0
2021,NGA0377636368,,2.0,1.0,186547.0,186547.0,0.0,0.0,3.0,3.0,0.0
2022,NGA0377636368,,2.0,3.0,191408.0,191408.0,132725.0,69.34,4.0,4.0,1.0
2023,NGA0377636368,,2.0,1.0,196193.0,196193.0,0.0,0.0,4.0,4.0,0.0
2014,NGA0377636369,,2.0,2.0,110399.0,110399.0,55794.0,50.54,1.0,0.0,0.0
2015,NGA0377636369,,2.0,3.0,113301.0,113301.0,67684.0,59.74,2.0,1.0,1.0
2016,NGA0377636369,,2.0,1.0,116133.0,116133.0,0.0,0.0,2.0,1.0,0.0
2017,NGA0377636369,,2.0,3.0,119036.0,119036.0,170411.0,143.16,3.0,2.0,1.0
2018,NGA0377636369,,2.0,3.0,122012.0,122012.0,94007.0,77.05,4.0,3.0,1.0
2019,NGA0377636369,,2.0,3.0,125063.0,125063.0,93596.0,74.84,5.0,4.0,1.0
2020,NGA0377636369,,2.0,3.0,127945.0,127945.0,94975.0,74.23,6.0,5.0,1.0
2021,NGA0377636369,,2.0,1.0,131259.0,131259.0,0.0,0.0,6.0,5.0,0.0
2022,NGA0377636369,,2.0,3.0,134679.0,134679.0,93850.0,69.68,7.0,6.0,1.0
2023,NGA0377636369,,2.0,1.0,138046.0,0.0,0.0,0.0,7.0,6.0,0.0
2014,NGA0377636370,,2.0,3.0,181399.0,181399.0,190219.0,104.86,1.0,1.0,1.0
2015,NGA0377636370,,2.0,3.0,186167.0,186167.0,115562.0,62.07,2.0,2.0,1.0
2016,NGA0377636370,,2.0,1.0,190821.0,190821.0,0.0,0.0,2.0,2.0,0.0
2017,NGA0377636370,,2.0,2.0,195591.0,195591.0,51896.0,26.53,3.0,2.0,0.0
2018,NGA0377636370,,2.0,3.0,200481.0,200481.0,150027.0,74.83,4.0,3.0,1.0
2019,NGA0377636370,,2.0,3.0,205493.0,205493.0,138425.0,67.36,5.0,4.0,1.0
2020,NGA0377636370,,2.0,3.0,210229.0,210229.0,168511.0,80.16,6.0,5.0,1.0
2021,NGA0377636370,,2.0,1.0,215674.0,215674.0,0.0,0.0,6.0,5.0,0.0
2022,NGA0377636370,,2.0,3.0,221294.0,221294.0,177478.0,80.2,7.0,6.0,1.0
2023,NGA0377636370,,2.0,1.0,226826.0,0.0,0.0,0.0,7.0,6.0,0.0
2014,NGA0377636371,,2.0,2.0,234489.0,234489.0,52528.0,22.4,1.0,0.0,0.0
2015,NGA0377636371,,2.0,3.0,240652.0,240652.0,209833.0,87.19,2.0,1.0,1.0
2016,NGA0377636371,,2.0,1.0,246668.0,246668.0,0.0,0.0,2.0,1.0,0.0
2017,NGA0377636371,,2.0,3.0,252835.0,252835.0,167442.0,66.23,3.0,2.0,1.0
2018,NGA0377636371,,2.0,3.0,259156.0,259156.0,194596.0,75.09,4.0,3.0,1.0
2019,NGA0377636371,0.82,2.0,3.0,265635.0,265635.0,183946.0,69.25,5.0,4.0,1.0
2020,NGA0377636371,,2.0,3.0,271757.0,271757.0,217992.0,80.22,6.0,5.0,1.0
2021,NGA0377636371,,2.0,1.0,278795.0,278795.0,0.0,0.0,6.0,5.0,0.0
2022,NGA0377636371,,2.0,1.0,286060.0,286060.0,0.0,0.0,6.0,5.0,0.0
2023,NGA0377636371,,2.0,1.0,293211.0,0.0,0.0,0.0,6.0,5.0,0.0
2014,NGA0377636372,,2.0,1.0,63326.0,63326.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636372,,2.0,3.0,64991.0,64990.0,76916.0,118.35,1.0,1.0,1.0
2016,NGA0377636372,,2.0,1.0,66616.0,66615.0,0.0,0.0,1.0,1.0,0.0
2017,NGA0377636372,,2.0,1.0,68281.0,68281.0,0.0,0.0,1.0,1.0,0.0
2018,NGA0377636372,,2.0,3.0,69988.0,69988.0,49146.0,70.22,2.0,2.0,1.0
2019,NGA0377636372,,2.0,3.0,71738.0,71738.0,47167.0,65.75,3.0,3.0,1.0
2020,NGA0377636372,,2.0,3.0,73391.0,73391.0,58893.0,80.25,4.0,4.0,1.0
2021,NGA0377636372,0.17,2.0,1.0,75292.0,75292.0,0.0,0.0,4.0,4.0,0.0
2022,NGA0377636372,,2.0,1.0,77254.0,77253.0,0.0,0.0,4.0,4.0,0.0
2023,NGA0377636372,,2.0,1.0,79185.0,0.0,0.0,0.0,4.0,4.0,0.0
2014,NGA0377636373,,0.0,0.0,241243.0,0.0,46833.0,0.0,0.0,0.0,0.0
2015,NGA0377636373,,0.0,0.0,247583.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377636373,,0.0,0.0,253773.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377636373,,0.0,0.0,260117.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0377636373,,0.0,0.0,266620.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0377636373,,0.0,0.0,273286.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0377636373,,0.0,0.0,279584.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0377636373,,0.0,0.0,286825.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0377636373,,0.0,0.0,294299.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0377636373,,0.0,0.0,301656.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0377636374,,2.0,1.0,236813.0,236813.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636374,,2.0,2.0,243037.0,243037.0,44669.0,18.38,1.0,0.0,0.0
2016,NGA0377636374,,2.0,1.0,249113.0,249113.0,0.0,0.0,1.0,0.0,0.0
2017,NGA0377636374,,2.0,1.0,255341.0,255341.0,0.0,0.0,1.0,0.0,0.0
2018,NGA0377636374,,2.0,3.0,261725.0,261725.0,183596.0,70.15,2.0,1.0,1.0
2019,NGA0377636374,,2.0,3.0,268268.0,268268.0,183088.0,68.25,3.0,2.0,1.0
